Primary,Related,Description
1401,1403,urban economic development
1401,1405,rural economic development.
1403,2001,intergovernmental relations.
1404,1405,rural economic development.
1405,802,"rural electricity development, 1706 rural telephone development."
1406,200,fair housing initiatives and discrimination in housing
1406,1408,elderly housing.
1407,1608,on-base military housing.
1410,1504,consumer mortgages.
1500,1800,Federal Trade Commission.
1501,1525,Truth-in-Lending Act
1501,104,Federal Reserve Board issues
1501,1202,prosecution of financial institution crimes.
1504,1410,government mortgage programs.
1505,1523,flood and earthquake insurance.
1507,1204,bankruptcy courts
1507,1003,bankruptcies in airline industry.
1507,530,employee benefits during bankruptcy
1520,1706,telephone deregulation
1520,1526,sports regulation
1520,1501,banking deregulation
1520,1505,insurance industry regulation.
1520,803,oil industry deregulation
1520,1006,trucking deregulation
1520,1005,railroad deregulation
1520,1003,airline deregulation
1521,201,SBA minority business programs
1521,1609,VA small business loans.
1521,1523,small business disaster loan programs
1524,1929,passport issues.
1524,530,immigration and refugee issues
1525,708,protection from indoor radiation hazards
1525,1504,fraudulent land sales.
1600,1701,NASA\DOD issues.
1604,803,strategic petroleum reserves
1604,1616,defense industry.
1605,1803,chemical and advanced technologies export control.
1608,601,GI Bill and military academies.
1609,1608,on-base military housing and retired military personnel
1609,601,veterans education benefits
1609,300,series for veterans health care (.3 denotes military or veterans health)
1609,502,for job training.
1609,1409,homeless veterans
1609,2008,designating/naming Veterans Administration hospitals and medical centers
1609,1407,veterans housing
1610,1617,oversight of defense contractors and contractor fraud
1610,1604,adequacy of supplies.
1612,601,ROTC college education.
1614,704,nonmilitary hazardous waste disposal.
1619,1620,settlement of war related claims against the US Government.
1700,1798,NSF research funding.
1704,1708,weather satellites.
1704,1707,satellite TV broadcasting
1705,1803,restrictions on exports of high technology.
1706,208,telephone privacy
1706,1525,telephone marketing fraud.
1707,1929,Radio Free Europe program.
1708,710,protection of marine environments.
1800,401,foreign agricultural trade.
1806,108,domestic industry productivity.
1908,1605,US-Soviet arms agreements
1908,1901,US foreign aid to the former Soviet Union.
1910,1920,policy issues exclusively dealing with Turkey.
1920,1910,issues dealing with the conflict between Turkey and Greece over Cyprus.
1927,1615,Department of Homeland Security related functions and domestic terrorism prevention efforts within US borders.
1929,208,display of USIA programs in US.
1929,1603,espionage
2003,201,racial discrimination in the USPS
2003,2008,construction of post office buildings.
2004,200,discrimination in the federal government employment
2004,2012,political activities of federal employees.
2004,2003,postal employees
2004,300,changes to federal employee health benefits
2004,301,changes to federal employee health benefits
2004,302,changes to federal employee health benefits
2004,321,changes to federal employee health benefits
2004,322,changes to federal employee health benefits
2004,323,changes to federal employee health benefits
2004,324,changes to federal employee health benefits
2004,325,changes to federal employee health benefits
2004,331,changes to federal employee health benefits
2004,332,changes to federal employee health benefits
2004,333,changes to federal employee health benefits
2004,334,changes to federal employee health benefits
2004,335,changes to federal employee health benefits
2004,336,changes to federal employee health benefits
2004,341,changes to federal employee health benefits
2004,342,changes to federal employee health benefits
2004,343,changes to federal employee health benefits
2004,344,changes to federal employee health benefits
2004,398,changes to federal employee health benefits
2006,104,monetary policy.
2007,1617,military contractor oversight.
2007,1610,military procurement
2008,2100,conveyance of real property.
2009,107,taxation.
2101,2103,public lands management.
2103,803,oil and gas leasing
2103,2101,land conveyance for national parks/monuments.
2103,709,animal and forest protection
2103,805,coal leasing
2103,1611,military land conveyances
2104,1007,navigation and maritime issues.
2104,802,hydroelectricity
2104,711,"water and soil conservation, watershed protection"
