Main,Code,Category,Description
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",201,Ethnic Minority and Racial Group Discrimination.,"Examples: minority discrimination, minority set aside programs, (ie positive discrimination, affirmative action), minority contracting and business development, appointment of minorities in the judicial system, hiring and promotion of minorities in the civil service, anti-discrimination legislation (eg Race Relations Act 1965, 1968, 1976), organizations for the promotion of racial equality (eg Commission for Racial Equality), anti-racism campaigns (eg Kick Racism Out of Football campaign), race based crimes, incitement of racial hatred, investigation of the racist or anti-immigration parties (eg British National Party: BNP), integration, multiculturalism, rights of Gypsies and travellers."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",202,Gender and Sexual Orientation Discrimination.,"Examples: gender and sexual orientation discrimination in the military, social security inequities affecting women, employment barriers to women, female salary inequities, sex discrimination regulations, equal pay for women, equal opportunities (eg Equal Opportunities Commission: EOC)."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",204,Age Discrimination.,"Examples: age discrimination in employment, mandatory retirement ages, age discrimination in the judicial system, regulatory problems in enforcing age discrimination laws, retirement age policies."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",205,Handicap or Disease Discrimination.,"Examples: discrimination against the disabled, airline discrimination against blind people, employment of persons with disabilities, insurance discrimination of blind people, civil rights of institutionalized persons and the mentally retarded, travel problems of the handicapped, discrimination based on genetics or health conditions, Disability Rights Commission."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",206,Voting Rights and Issues.,"Examples: voting rights, discriminatory barriers to voting registration, banning literacy tests, Representation of the People Act, free mailing of voter registration forms, lowering the voting age to 18, abolition of poll taxes."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",207,Freedom of Speech & Religion.,"Examples: human right to expression, religious freedom, physical desecration of the flag, school prayer, protection of women's abortion rights, religious speech protection, anti-obscenity legislation, right to protest/assembly (Public Order Act), provisions against incitement of religious hatred, censorship laws."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",208,Right to Privacy and Access to Government Information.,"Examples: privacy of consumer and worker records, employee drug and polygraph testing, computer access and security, police wiretapping, privacy of medical records, access to government records and information, disclosure and confidentiality standards for government information, electronic funds transfer and financial privacy, security and privacy of criminal arrest records, freedom of information legislation (eg Freedom of Information Act), dissemination of government films, programs or information within the UK or at museums."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",209,Anti-Government Activities.,"Examples: theory and practice of Communism, treason, prosecution of foreign agents, investigations and surveillance of anti-government groups and protesters, investigation of student unrest at various universities, investigation of communist youth activities, establishing agencies to educate the public on the tactics of communist subversives, investigate the scope of Soviet activity in the U.K., investigate communist infiltration of education institutions and the military."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",230,Immigration.,"Examples: right to asylum (eg Geneva Convention on Human Rights), political asylum, refugees, processing of claims for asylum, housing and resettlement of asylum seekers and refugees, refugee detention, judicial appeals on claims for asylum, abuse of the asylum system, immigration and nationality policy, visas, border controls, right to enter the country, expulsion of immigrants convicted of criminal offences, enforcement of immigration laws and rules, nationality or citizenship rights for current/former territories and dependencies (eg members of the Commonwealth), legalization procedures for illegal immigrants, immigration and education issues for aliens, adjusting visa allocations based on applicant job skills, denial of visas to political refugees, appropriations for immigration administration and border controls, citizenship issues, expedited citizenship for military service."
"Civil Rights, Minority Issues, Immigration, and Civil Liberties",299,Other.,"Examples: right to livelihood, identity card schemes"
Health,300,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Health), comprehensive health care (eg National Health Service), the health care system and organizations (eg Local Health Authorities), government provision of public healthcare, national health and diet, health inequalities, activities that provide little evidence of policy direction, commissions to study health issues, solvency of healthcare providers (eg NHS Trusts), coroners, exhumation of bodies, cause of death, public inquiries into deaths."
Health,301,Comprehensive Health Care Reform.,"Examples: proposals to reform broader health system (rather than specific aspects of a program), including establishment of a national health care system, structural changes in healthcare provision, comprehensive reform of health care services or management (eg the National Health Service internal market, GP Fund Holders, star ratings), delegation of responsibilities to health care providers (eg NHS Trusts and Strategic Health Authorities), changing responsibilities of providers (eg Local Authorities), regulation of health care modernisation and reform, initiatives in womens health, initiatives in rural health, government allocation of funds to health care providers (eg Local Authorities and NHS Trusts), public health care partnerships with the private sector."
Health,302,"Insurance Reform, Availability, and Cost.","Examples: access to healthcare services, eligibility, public health insurance, national health insurance, medical benefits, the uninsured, insurance premiums, extensions of coverage, supplemental insurance schemes, establishment of tax free medical savings/insurance schemes, regulation of the private insurance market, coverage of war veterans, regulation of healthcare organizations and insurers with respect to general availability of coverage (eg patients bill of rights)."
Health,321,"Regulation of Drug Industry, Medical Devices, and Clinical Labs.","Examples: generally about safety and quality of products and procedures, approval processes, drug labelling and marketing, organ transplant allocations, safety of the blood supply, faulty cholesterol screening, prescription drug counterfeiting, pacemaker regulation, prescription drug labelling, over-the-counter drug safety, fatal allergic reactions to drugs, drug abuse in nursing homes, vitamin, mineral and diet supplements, regulation of drug marketing procedures, approval of drugs to combat specific diseases, regulatory drug approval process, regulation of medical devices, regulatory approval of contraceptive devices, regulation of clinical trials, inspection of x-ray equipment by regulators, regulation of pharmacies."
Health,322,"Facilities Construction, Regulation, and Payments.","Examples: construction of hospitals, laboratories, health centres and nursing homes, including issues of undersupply in rural or urban areas, payments to health care providers (eg Local Authorities, NHS Trusts) for service provision, emergency care facilities, regulation of standards and activities within these facilities (eg hygiene), including personnel qualifications, certification of long-term health care facilities, nursing home standards and regulation, medical lab reliability issues."
Health,323,Provider and Insurer Payment and Regulation,"Examples: reimbursement/payment rates and methods for doctors, nurses and insurance companies, peer review procedures, the organisation and rules of payment between healthcare providers, government and insurance companies, review or appeals processes, cost of healthcare services for government or insurance companies, regional adjustments, risk adjustment, reimbursement for healthcare providers (eg dentists, chiropractors), foreign medical graduates, nurse practitioners, payment for sub-contracted services, recovery from insurers and other persons or organisations of charges in connection with the treatment of injuries/casualties in national health service."
Health,324,"Medical Liability, Fraud and Abuse.","Examples: processing of medical complaints, malpractice issues, fraudulent medical qualifications, unfair sales practices, misuse of government funds for mental healthcare, healthcare provider overbilling, conflicts of interest, misuse of government funds for mental health care, medical malpractice insurance coverage, revocation of medical practitioners licenses, suspension of medical practitioners privileges, dispute resolution for medical malpractice claims, unfair sales practices in the diet and medical industries, liability protection for medical practitioners working in the public sector, compensation for clinical/medical negligence."
Health,325,Health Manpower and Training.,"Examples: issues of undersupply and oversupply of health personnel, including incentives to practice in underserved areas, regulation of the medical profession (eg General Medical Council), certification and licensing procedures, coverage of services provided by training programs and medical schools, reimbursement rates for teaching hospitals, construction of teaching hospitals, collective bargaining, health manpower training, nurse training, public health training grants, physician training, medical libraries, nurse midwifery."
Health,331,"Prevention, Communicable Diseases and Health Promotion.","Examples: cancer screening, health promotion programs, consumer guides, medical information, health education in schools, immunization, prevention programs for osteoporosis, sexually transmitted diseases, tuberculosis, government response to AIDS, breast cancer treatment, skin cancer, renal disease, treatment of high blood pressure, Legionnaire's disease, communicable disease control, sickle cell anemia prevention, polio, obesity and nutrition, outbreaks of disease (eg pandemics, SARS, Avian Flu)."
Health,332,Infants and Children.,"Examples: preventive services for children, prenatal care, child and juvenile health care, school health programs, child immunization, reduction of infant mortality, promotion of breast feeding, prenatal care programs, child health care, sudden infant death syndrome (cot death), childhood malnutrition, fatal alcohol syndrome, child dental care, health visiting services, maternity services, child and adolescent mental health services, disclosure of information related to human fertilisation and embryology."
Health,333,Mental Health and Mental Retardation.,"Examples: government role in providing services to the mentally ill, mental health services, quality of care for mentally ill, mentally ill and handicapped children, specialized housing for mentally retarded, mental health centres, treatment policies or strategies for those with mental disorders, public healthcare provision of psychiatry, psychotherapy and counselling services in primary care."
Health,334,"Long-Term Care, Home Health, Terminally Ill, and Rehabilitation Services.","Examples: benefits and cost issues related to long-term health care provision, community care, care in the community, hospice, nursing homes, in home care, regulation of the sale of long-term health care to the elderly, long-term care insurance improvement, legally appointed guardianships for the elderly and infirm, aging, gerontology research, problems in financing long-term care, community alternative to institutional care, approaches to long-term care for the elderly, conferences on aging, comprehensive home health care, rehabilitation needs of persons with head injuries, life-sustaining treatments for the terminally ill."
Health,335,Prescription Drug Coverage and Costs.,"Examples: NHS prescription drug coverage, coverage of specific drugs under the NHS, rising costs of drug coverage, coverage of clinical trials and experimental treatments, prescription charges for medicines."
Health,336,Other or Multiple Benefits and Procedures.,"Examples: treatment for Alzheimer's, dental services, vision services, renal disease, breast cancer detection and treatment, durable medical equipment (eg wheelchairs)."
Health,341,"Tobacco Abuse, Treatment, and Education.","Examples: cigarette advertising and regulatory issues, ban on smoking in government buildings, increase public awareness of smoking health risks, smoking prevention education programs, health effects associated with smoking, ban on tobacco advertising, restriction of smoking in enclosed public places and workplaces."
Health,342,Alcohol Abuse and Treatment.,"Examples: national minimum drinking age, regulation of advertising of alcoholic beverages, alcohol abuse among the elderly, prevention of adolescent alcohol abuse, government or insurance coverage of healthcare for alcohol abuse treatment, drunk driving victims protection, enforcement of drink driving legislation, alcoholism prevention programs."
Health,343,"Controlled and Illegal Drug Abuse, Treatment, and Education.","Examples: drug abuse education and prevention programs in schools, community based anti-drug programs, treatment for substance abuse in prison, methadone treatment program, drug abuse treatment programs and insurance coverage, drug abuse by military personnel."
Health,344,Drug and Alcohol or Substance Abuse Treatment.,"Examples: extension of drug and alcohol abuse prevention programs, health coverage of drug and alcohol abuse treatment programs, drug and alcohol abuse prevention programs in schools, drug and alcohol abuse in the armed services, juvenile alcohol and drug abuse, entertainment industry efforts to curb drug and alcohol abuse."
Health,398,Research and Development.,"Examples: Alzheimers research, research on womens health, government tax incentives for research and development, research grants to organizations and educational institutions, conferences on health-related issues, genetic engineering issues, medical research and regulatory issues, sleep disorders research, biomedical research, fetal tissue transplant research, health policy research programs, medical applications of biotechnology research, research on increased life expectancy, human genetic engineering research, biomedical and behavioural research, regulation of human fertilisation and embryology and retention of human tissues after death."
Health,399,Other.,Examples: health consequences of a nuclear attack.
Agriculture,400,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Ministry of Agriculture, Fisheries and Food), farm legislation issues, economic conditions in agriculture, impact of budget reductions on agriculture, importance of agriculture to the national economy, national farmland protection policies, agriculture and rural development appropriations, family farmers, state of the agricultural industry, farm program administration, long range agricultural policies, agricultural holdings and tenancies (eg Crofting), food production, agricultural policies at the international level (eg Common Agriculture Policy, EU Agriculture and Fisheries Council), allotments."
Agriculture,401,Agricultural Trade.,"Examples: trade in agricultural goods (eg Cotton), trade agreements (eg wheat), inspection of imports, agriculture export promotion and initiatives, agricultural trade promotion programs, tobacco import trends, agricultural export credit guarantee programs, impact of imported meats on domestic industries, country of origin produce labelling, value added agricultural products in domestic trade, establishment of export limits or quotas (eg coffee), effects of foreign produce importation, livestock and poultry exports, reemphasize trade development, promote foreign trade in grapes and plums, prohibit unfair trade practices affecting producers of agricultural products, establish agricultural aid and trade missions to assist foreign countries to participate in domestic agricultural aid and trade programs."
Agriculture,402,"Government Subsidies to Farmers and Ranchers, Agricultural Disaster Insurance.","Examples: agricultural price support programs, price guarantees and long-term assurance for producers, agricultural grants, government assistance for crop loss, farm credit system financial viability, government agriculture credit programs, agricultural disaster relief programs, subsidies for dairy producers, farm loan and credit issues, reforming crop insurance programs, credit assistance for family operated farms, government milk supply and pricing policies, renegotiation of farm debts, direct subsidy payments to producers, establishing farm program payment yields, peanut programs, wheat programs, evaluation of the supply and demand for various agricultural commodities, beef prices, cotton acreage allotments, shortages of agricultural storage facilities, agricultural subterminal storage facilities, financial problems of farm banks, farm vehicle issues, feed grain programs, cropland adjustment programs."
Agriculture,403,Food Inspection and Safety (including Seafood).,"Examples: standards for food safety, regulation of farming practices, monitoring of animal drug residues, consumer seafood safety, budget requests for food safety programs, food labelling requirements, grain inspection services, regulation of health and nutrition claims in food advertising and labelling, sanitary requirements for food transportation, regulation of pesticide residues on fruit, food irradiation control, regulation of artificial food colouring, government control over the contamination of food supplies, meat grading standards, meat processing and handling requirements, improvement of railroad food storage facilities, shortage of grain storage facilities, food packaging standards, food buyer protection, regulation of food additives, definition and standards of dry milk solids, regulation of food packaging, licensing of agricultural sellers, slaughter of animals, regulation of slaughterhouses."
Agriculture,404,"Agricultural Marketing, Research, and Promotion.","Examples: soybean promotion, research, consumer information, commodity promotion programs, cotton research and promotion, wheat marketing problems, livestock marketing, new peanut marketing system, government inquiries or investigations into food marketing, fruit and vegetable marketing, industrial uses for agricultural products, meat promotion program, national turkey marketing act, government marketing contributions or quotas."
Agriculture,405,Animal and Crop Disease and Pest Control.,"Examples: regulation of plant and animal mailing to prevent the spread of diseases, control of animal and plant pests, pork industry swine disease eradication program, virus protection for sheep, grasshopper and cricket control programs on farmland, government response to disease outbreaks in livestock or crops (eg BSE: Mad Cow Disease), weed control, eradication of livestock diseases, brucellosis outbreak in cattle, pest management, toxic contamination of livestock, fire ant eradication, animal or insect quarantines, predator control problems, biological controls for insects and diseases on agricultural crops, eradication of farm animal foot and mouth diseases."
Agriculture,406,Animal Welfare.,"Examples: welfare and conditions of animal livestock in the agricultural sector (eg cattle, poultry, pigs), factory farming, intensive farming methods, animal welfare standards, battery hens and broiler chickens, policies concerning the size of stables for cattle, mistreatment of animals, cages for poultry, standards on chicken production, the health of livestock, veterinary provision on farms, free-range farming, treatment of animals as pets, penalties for abuse of farm or domestic animals, veterinary medicine, dog fouling, breeding of domesticated animals."
Agriculture,408,Fisheries and Fishing.,"Examples: policies concerning fisheries and fishing, state of the fishing industry, condition of the fishing fleet, fishery limits, management of fish stocks, regulation of fishing practices (eg drift netting), subsidies or grants for fishing, social and economic support to fishing communities, access to fishing grounds and markets, modernisation of the fishing fleet, inland fisheries."
Agriculture,498,Agricultural Research and Development.,"Examples: livestock breeding practices and standards, condition of publicly funded agricultural research facilities, nutrition research activities, agricultural research programs, breeding of new plant varieties, regulation of research in agricultural biotechnology programs (eg regulation of genetic modification trials), organic farming research, potential uses of genetic engineering in agriculture, agricultural research services, research on aquaculture."
Agriculture,499,Other.,"Examples: methodologies used in a nationwide food consumption survey, agricultural weather information services, agricultural census, designation of agricultural organizations, home gardening, redefinition of the term farm, farm cooperative issues."
Labor and Employment,500,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Employment), review of changes in the labour market, labour force size and participation, redundancies or job losses in particular sectors or regions, job creation programs, human resources development, declines in the number of industrial or manufacturing jobs, national employment priorities, current labour market developments."
Labor and Employment,501,Worker Safety and Protection.,"Examples: legislation on safety, industrial injuries, regulation of workplace safety (eg Health and Safety Executive, Factory Inspectorate), health of workers (eg miners, quarrymen), regulation of factories, mine safety regulations, lead exposure risks during construction activities, improving safety and health programs, petrochemical plant worker safety, repetitive motion illnesses in the workplace (repetitive strain injury), regulatory penalties and procedures for violations resulting in employee death or disability, investigation of workplace accidents, construction safety standards, improve procedures for occupational health hazards identification, identification of high-risk diseases in the work place, worker protection in decontamination of former toxic sites, drug and alcohol abuse in the work place, compensation for occupational diseases or injuries, safety at nuclear facilities, work-related injury compensation, black lung benefits and black lung disease."
Labor and Employment,502,Employment Training and Workforce Development.,"Examples: employee training and development, national system of industrial training (eg Industrial Training Boards, Manpower Services Commission, Training and Enterprise Councils), apprenticeships, job opportunities and basic skills training programs (eg Learning and Skills Council), government support for job retraining, job displacement programs among timber workers, elderly workers and job re-training, lifelong learning, government schemes or subsidies in support of training and employment of long-term welfare recipients, displaced homemakers vocational and education assistance, work incentive programs, manpower and employment problems in particular cities, towns or regions, public service jobs for unemployed, public service job programs."
Labor and Employment,503,Employee Benefits.,"Examples: terms of employment, statutory and non-statutory sick pay, employer and employee pension schemes, leave and public holiday entitlements, maternity or paternity payments, minimum periods of notice, redundancy and severance payments, underfunded pension plans and pension plan protection, emergency unemployment compensation, retiree health benefits, guarantees of retirement annuities, employee stock ownership plans, fraud and abuse in employee sponsored health insurance programs, minimum health benefits for employees, pension benefit guarantee corporation, voluntary employee leave sharing program, unemployment compensation system financing, worker compensation ratemaking reform, tax treatment of employee fringe benefits, disability insurance legislation, railroad employment benefits."
Labor and Employment,504,Employee Relations and Labour Unions.,"Examples: collective bargaining, industrial relations, strikes and industrial disputes, legislation on picketing and the closed shop, industrial negotiations and arbitration (eg Industrial Relations Service, Conciliation and Advisory Service, ACAS), employment tribunals, trade unions and professional associations, labour-management relations in particular industries or sectors, striker replacement legislation, national rail strike, government department and agency guidelines for worker dispute resolution, unions and collective bargaining problems, regulation of flight attendant work and rest periods, labour law reform and unfair labour practices, terms of office for local labour union officers, investigation into the causes of labour disputes, notification of plant closures or layoffs, Longshoremen issues, right to organize, employee organization efforts."
Labor and Employment,505,Fair Labour Standards.,"Examples: the working week, breaks, equal pay, national minimum wage, enforcement of wage and hour standards (eg maximum working week), overtime rules, rules on night shifts, requirement for employers to pay wages at local rate, penalties on employers for overtime work requirements."
Labor and Employment,506,Youth Employment and Child Labour.,"Examples: youth training (eg Youth Opportunities Programme, Youth Training Scheme, Technical and Vocational Education Initiative) and employment programs (eg the New Deal), work experience, youth employment through conservation projects, increase youth participation in job training centers, youth employment regulation and protection, youth involvement in community service programs, summer youth education and employment programs, job training for disadvantaged youths, summer camps and youth camps (all activities and issues associated with summer and youth camps)."
Labor and Employment,508,Parental Leave and Child Care.,"Examples: maternity or paternity rights, workplace childcare (eg crche, nurseries, day care centres), flexitime, child care assistance programs, child care for low and moderate income families, meeting the child care needs of working parents, affordability of insurance for day care centers, parental and medical leave, child care placement assistance for working parents, dependent care, dependent and child care."
Labor and Employment,529,"Migrant and Seasonal Workers, Farm Labour Issues.","Examples: seasonal working rights and programs, migrant and seasonal worker housing, migrant childrens nutrition and education needs, improvement of migrant living and working conditions, social and economic problems of migrant workers, migrant workers and their effect on domestic labour, farm labour programs, migratory labour bills, health clinics for migratory farm workers, farm labour supply programs, regulation of seasonal workers (eg gang masters)."
Labor and Employment,599,Other.,"Examples: research on employment practices and worker attitudes, national work ethic."
Education and Culture,600,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Education and Science), state of education, education programs development, education quality and standards, legislation on education, national education methods, impact of education budget cuts, quality and choice in education, education priorities, structure of the education system, trends in educational performance."
Education and Culture,601,Higher Education.,"Examples: further and higher education, funding of further education, facilities for students at universities, tuition fees, grants and student loans, regulation of student unions, student loan reform, higher education student financial aid programs, direct loan programs for graduate students, student loan fraud and default, specialist or minority colleges and universities, military education, veterans education assistance, foreign students at military academies, rising costs of operating higher education institutions, improving the quality of higher education, status of university endowments."
Education and Culture,602,Elementary and Secondary Education.,"Examples: early education, child care, and nursery education (eg pre-school, nurseries), primary schools, grammar schools, comprehensive education, independent schools, training and recruitment of teachers, school construction, legislation concerning primary or secondary education (eg the Education Act), school governors, school boards, national curriculum, school-leaving age, the role of local education authorities and parents, teachers salaries and pensions, education in rural and deprived areas, class sizes, school budgets, issue of selection in secondary education, legislation that tackles underperforming (failing) schools, school leaving age, elementary and secondary education programs, school funding disparities, education choice programs, high school dropout intervention programs, certification standards for public school teachers, impact of budget cuts on school districts, elementary and secondary school student discipline and truancy problems, scholarship programs (eg assisted-places scheme), elementary and secondary schools and supplemental educational centres, preschool issues."
Education and Culture,603,Education of Underprivileged Students.,"Examples: education services for children from low-income families (eg Sure Start programs), teaching disadvantaged students, education needs of minorities, bilingual education needs, grants to improve skills of economically disadvantaged students, effects of programs on later performance of underprivileged students, adult literacy programs, education for children from low income homes, enrichment programs for disadvantaged secondary school students."
Education and Culture,604,Vocational Education.,"Examples: vocational and technical education (eg Polytechnic Colleges, Technology Colleges, Academies), appropriations for vocational education programs, funding of vocational training, technical and vocational education programs, vocational aid program requirements, impact of proposed budget cuts on vocational education, vocational and occupational education, work experience."
Education and Culture,606,Special Education.,"Examples: special-educational needs, access to learning for disabled people, education programs for the deaf, grants for early intervention services for disabled infants and toddlers, legislation and funding for special education, progress in implementing program for learning disabled youth, handicapped education, public education for the handicapped, education assistance for the blind.15"
Education and Culture,607,Educational Excellence.,"Examples: educational quality and standards, regulation of education, literacy and numeracy, promotion of excellence in education, promotion of science and math education, education standards and testing, improvement of science education facilities, increase foreign language competency in schools, programs to promote teacher excellence, grants for improving computer education in schools, establish centres for gifted and talented students, use of telecommunications to share teaching resources, grants for library construction, library program developments, public library facilities, charter schools."
Education and Culture,609,Arts and Humanities (Culture).,"Examples: funding for the arts, humanities and culture, national heritage, grants for performing arts, local arts development, endowments for the arts, funding of arts programs, galleries and museums, conferences on arts and humanities, funding for classical music, free access to national galleries and museums, national theatre and opera (eg National Opera House), national customs and tradition (folk life), public exhibitions and festivals (eg Festival of Britain)."
Education and Culture,698,Research and Development.,"Examples: funding for education research, government research and development programs, research on education technology, knowledge transfer and innovation, promotion of scientific and technical education."
Education and Culture,699,Other.,"Examples: education statistics activities, education appeals, retirement and lifelong learning, school land issues."
Environment,700,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of the Environment), government policies and international environmental issues, reports on environmental trends and conditions, environmental planning, environmental protection and energy conservation, funding for environmental protection and regulatory enforcement, environmental regulation, environmental crimes, reviews of environmental legislation, pollution control programs, remediation programs for environmental damage and pollution (eg land decontamination), local environment quality."
Environment,701,Drinking Water Safety (and Supply).,"Examples: drinking water supply, water quality, regulation of water pollution, pesticides in groundwater, lead contamination of drinking water, drinking water safety programs, studies of the quality of the nation's groundwater, drinking water availability, dioxin levels in drinking water, fluoridation of water, structure and management of water resources and supply, water charging and metering, water shortages, public authorities involved in water provision, privatisation of water authorities."
Environment,703,Waste Disposal.,"Examples: household waste, local or international waste disposal, solid waste management, management of municipal waste, municipal sewage problems, construction of public sewage works, municipal sewage treatment, recovery of energy from municipal solid waste, garbage and/or trash collection issues, waste treatment facility."
Environment,704,"Hazardous Waste and Toxic Chemical Regulation, Treatment, and Disposal.","Examples: hazardous waste sites cleanup, hazardous materials transportation, international movement of hazardous waste, insurance company liability for cleanup costs of hazardous waste sites, routing of ultra hazardous cargoes, hazardous waste landfills, possible sites for nuclear waste repositories, toxic substances control and regulation, advance notice of hazardous material storage for fire fighters, pesticides regulation, radiological hazards."
Environment,705,"Air Pollution, Global Warming, and Noise Pollution.","Examples: air quality (eg smog), acid rain, air quality issues affecting countryside and national parks, regulation of chemical plant emissions, costs and effects of chronic exposure to low-level air pollutants, ambient air quality criteria, global warming, climate change, carbon emissions trading, national action plan for reducing greenhouse emissions, ozone layer depletion, national program to control acid rain, effects of chlorofluorocarbons on the ozone layer, regulation of automobile emissions, noise control programs, fuel economy standards, reports of scientific research into climate change (eg Stern Report), international negotiations and agreements on climate change (eg Kyoto Protocol)."
Environment,707,Recycling.,"Examples: recycling contaminated materials, beverage container recycling, regional and municipal recycling efforts, promotion of recycling as a means of reducing solid waste, resource conservation and recycling."
Environment,708,Indoor Environmental Hazards.,"Examples: radon awareness and disclosure, indoor air quality and radon abatement legislation, lead exposure reduction, childhood lead poisoning prevention, public schools asbestos inspections, management and control of asbestos in government buildings, programs relating to indoor air contamination, airliner cabin air quality, health effects of exposure to low level radiation from video display terminals, regulation of indoor disinfectants, asbestos compensation."
Environment,709,Species and Forest Protection.,"Examples: endangered species protection (eg wolves, eagles, rare turtles, polar bears), protection of spotted owls, exotic bird conservation, protection of performance animals, regulation of trapping devices, regulation of laboratory animals, fish and wildlife protection and management programs, marine mammal protection, fishery conservation and management, salmon conservation issues, sport fish restoration programs, protection of certain tuna species, scientific findings on late-successional forest ecosystems, old growth forest protection, wilderness refuge protection, control of illegal trade in animals and plants, humane treatment of animals used in experiments, controls on hunting with hounds, international controls on whaling."
Environment,710,Coastal Water Pollution and Conservation.,"Examples: preservation of wetlands, regulation of ocean dumping, pollution from merchant shipping and cruise ships, marine plastic pollution control, marine sanctuaries appropriations, pollution in coastal areas, protection of coral reef systems, river water pollution, coastal barrier improvement, coastal erosion and management, coastal protection policies, toxic pollution in inland lakes or waterways, regulation of the incineration of hazardous wastes at sea, oil spills."
Environment,711,Land and Water Conservation.,"Examples: funding of land and water conservation, soil conservation promotion, protection of countryside and rural areas, soil conservation, topsoil conservation standards, water supply problems, water shortages, control and rights relating to water resources, beach erosion."
Environment,798,Research and Development.,"Examples: environmental research and development programs, funding of research and development for environmental protection, global climate change research, ocean research using satellite technology, marine biotechnology research, environmental statistics and data."
Environment,799,Other.,"Examples: environmental consequences of nuclear war, capability for forecasting future environmental problems, reports on environmental impacts."
