Category,Code,Sub-category,Description
"Civil Rights, Minority Issues, and Civil Liberties",299,Other.,"Examples: right to livelihood, legal fees equity act, misuse of OEO funds, membership on the Commission on Civil Rights     3."
Health,300,General.,"Examples: National Institute of Health (NIH) appropriations, Department of Health and Human Services (DHHS) appropriations, activities that provide little evidence of policy direction, commissions to study health issues, solvency of Medicare."
Health,301,Comprehensive health care reform.,"Examples: proposals to reform broader health system (rather than specific aspects of a program), including establishment of a national health care system, comprehensive Medicare reform, delegation of responsibilities to the states, changing responsibilities of states, regulation of state health care reform, initiatives in women's health, initiatives in rural health, federal assistance percentages, state share of Medicare or Medicaid payments."
Health,302,"Insurance reform, availability, and cost.","Examples: Access, eligibility, the uninsured, Medicare premiums, Medicare supplemental insurance (Medigap), establishment of tax free medical savings accounts, regulation of the individual insurance market, health-related ERISA issues, coverage of veterans under Medicare, coverage of veterans under federal employee health plans (FEHB), regulation of HMOs and insurers with respect to general availability of coverage (eg patients bill of rights), enrollment mix requirements for HMOs, catastrophic coverage under Medicare."
Health,321,"Regulation of drug industry, medical devices, and clinical labs.","Examples: Generally about safety of products and procedures, approval processes, drug labeling and marketing, organ transplant allocations, safety of the blood supply, faulty cholesterol screening, prescription drug counterfeiting, pacemaker regulation, prescription drug labeling, over-the-counter drug safety, fatal allergic reactions to drugs, drug abuse in nursing homes, vitamin, mineral and diet supplements, regulation of drug marketing procedures, approval of drugs to combat specific diseases, FDA drug approval process, FDA regulation of medical devices, FDA approval of contraceptive devices, regulation of clinical trials, inspection of x-ray equipment by PHS."
Health,322,"Facilities construction, regulation, and payments.","Examples: Construction of hospitals, laboratories, health centers and nursing homes, including issues of undersupply of such facilities in rural or urban areas (disproportionate share payments to hospitals) payments to hospitals for inpatient services under Medicare, emergency care facilities, regulation of standards and activities within these facilities, including personnel qualifications, HHS certification of long-term health care facilities, nursing home standards and regulation, Public Health Service (PHS) appropriations, PHS activities and regulation, medical lab reliability issues, Hospital Construction Act."
Health,323,Provider and insurer payment and regulation.,"Examples: Reimbursement rates and methods for physicians, insurance companies, or specific procedures, peer review procedures, prospective payment system (PPS), appeals processes, payment rates for HMO services, regional adjustments, risk adjustment,  7    reimbursement for chiropractors, foreign medical graduates, nurse practitioners, payment for outpatient services."
Health,324,"Medical liability, fraud and abuse.","Examples: Malpractice issues, fraudulent medical degrees, unfair sales practices, misuse of federal funds for mental health care, Medicare overbilling, conflicts of interest, misuse of federal funds for mental health care, medical malpractice insurance coverage, revocation of physician licenses, suspension of physician privileges, dispute resolution for medical malpractice claims, unfair sales practices in the diet and medical industries, liability protection for federal physicians."
Health,325,Health Manpower and Training.,"Examples: Issues of undersupply and oversupply of health personnel, including incentives to practice in underserved areas, certification and licensing procedures, coverage of services provided by training programs and medical schools, reimbursement rates for teaching hospitals, collective bargaining, health manpower training, nurse training, public health training grants, physician training, medical libraries, nurse midwifery."
Health,331,"Prevention, communicable diseases and health promotion.","Examples: Cancer screening, health promotion programs, consumer guides, medical information, health education in schools, immunization, prevention programs for osteoporosis, sexually transmitted diseases, tuberculosis, federal response to AIDS, breast cancer treatment, skin cancer, renal disease, treatment of high blood pressure, Legionnaires disease, communicable disease control, sickle cell anemia prevention, polio, Center for Disease Control funding, designation of national health promotion holidays."
Health,332,Infants and children.,"Examples: Preventive services for children, prenatal care, child and juvenile health care, school health programs, child immunization, Comprehensive Child Immunization Act, reduction of infant mortality, promotion of breast feeding, prenatal care programs, child health care, sudden infant death syndrome, childhood malnutrition, fetal alcohol syndrome, child dental care."
Health,333,Mental illness and mental retardation.,"Examples: Federal role in providing services to the mentally ill, mental health services, quality of care for mentally ill, mentally ill and handicapped children, specialized housing for mentally retarded, mental health centers, veterans mental health."
Health,334,"Long-term care, home health, terminally ill, and rehabilitation services.","Examples: Benefits and costs issues related to Medicare catastrophic costs, hospice, nursing homes, in home care, regulation of the sale of long-term health care to the elderly, long-term care insurance improvement, court appointed guardianships for the elderly and infirm, aging, gerontology research, National Institute of Aging, problems in financing long-term care, community alternative to institutional care, approaches to long-term care for the elderly, conferences on aging, comprehensive home health care, rehabilitation needs of persons with head injuries, life-sustaining treatments for the terminally ill.  See also: 322 nursing home standards; 333 long-term care for the mentally ill; 1304 disability benefits; 1609 veterans' disability benefits; 323 payment for outpatient services; 336 provision of outpatient benefits.."
Health,335,Prescription drug coverage and costs.,"Examples: Medicare prescription drug coverage, coverage of specific drugs under Medicaid, rising costs of drug coverage, coverage of clinical trials and experimental treatments."
Health,336,Other or multiple benefits and procedures.,"Examples: Treatment for Alzheimers, dental services, vision services, renal disease, breast cancer detection and treatment, durable medical equipment (eg wheelchairs).."
Health,341,"Tobacco Abuse, Treatment, and Education.","Examples: cigarette advertising and regulatory issues, ban on smoking in federal buildings, increase public awareness of smoking health risks, smoking prevention education programs, health effects associated with smoking.."
Health,342,Alcohol Abuse and Treatment.,"Examples: implementation of the national minimum drinking age act, alcoholic beverage advertising act, alcohol abuse among the elderly, prevention of adolescent alcohol abuse, health insurance coverage of alcohol abuse treatment, drunk driving victims protection, drunk driving enforcement aid for states, alcoholism prevention programs."
Health,343,"Controlled and Illegal Drug Abuse, Treatment, and Education.","Examples: drug abuse education and prevention programs in schools, community based anti-drug programs, federal prison substance abuse treatment availability act, methadone  9  treatment program, drug abuse treatment programs and insurance coverage, drug abuse by military personnel."
Health,344,Drug and Alcohol or Substance Abuse Treatment.,"Examples: extension of drug and alcohol abuse prevention programs, health coverage of drug and alcohol abuse treatment programs, drug and alcohol abuse prevention programs in schools, drug and alcohol abuse in the armed services, juvenile alcohol and drug abuse, entertainment industry efforts to curb drug and alcohol abuse."
Health,398,Research and development.,"Examples: Alzheimers research, research on womens health, government tax incentives for research and development, research grants to organizations and educational institutions, conferences on health-related issues, genetic engineering issues, medical research and regulatory issues, sleep disorders research, NASA-NIH biomedical research, fetal tissue transplant research, health policy research programs, medical applications of biotechnology research, research on increased life expectancy, human genetic engineering research, biomedical and behavioral research.."
Health,399,Other.,Examples: health consequences of a nuclear attack.
Agriculture,400,General (includes combinations of multiple subtopics).,"Examples: DOA, USDA and FDA appropriations, general farm bills, farm legislation issues, economic conditions in agriculture, impact of budget reductions on agriculture, importance of agriculture to the US economy, national farmland protection policies, agriculture and rural development appropriations, family farmers, state of American agriculture, farm program administration, long range agricultural policies, amend the Agriculture and Food Act, National Agricultural Bargaining Board.."
Agriculture,401,Agricultural Trade.,"Examples: FDA inspection of imports, agriculture export promotion efforts, agricultural trade promotion programs, tobacco import trends, agricultural export credit guarantee programs, impact of imported meats on domestic industries, country of origin produce labeling, USDA agricultural export initiatives, value added agricultural products in US trade, establish coffee export quotas, effects of Mexican produce importation, international wheat agreements, livestock and poultry exports, amend Agricultural Trade Development and Assistance Act of 1954, reemphasize trade development, promote foreign trade in grapes and plums, prohibit unfair trade practices affecting producers of agricultural products, extend Agricultural Trade Development, enact the Agriculture  10  Trade Act of 1978, establish agricultural aid and trade missions to assist foreign countries to participate in US agricultural aid and trade programs, Food, Agriculture, Conservation and Trade Act Amendments."
Agriculture,402,"Government Subsidies to Farmers and Ranchers, Agricultural Disaster Insurance.","Examples: agricultural price support programs, USDA crop loss assistance, farm credit system financial viability, federal agriculture credit programs, agricultural disaster relief programs, subsidies for dairy producers, farm loan and credit issues, reforming federal crop insurance programs, credit assistance for family operated farms, federal milk supply and pricing policies, renegotiation of farm debts, USDA direct subsidy payments to producers, establishing farm program payment yields, peanut programs, wheat programs, evaluation of the supply and demand for various agricultural commodities, beef prices, cotton acreage allotments, shortages of agricultural storage facilities, agricultural subterminal storage facilities, financial problems of farm banks, Agricultural Adjustment Act, farm vehicle issues, Wool Act, Sugar Act, feed grain programs, cropland adjustment programs."
Agriculture,403,Food Inspection and Safety (including seafood).,"Examples: FDA monitoring of animal drug residues, consumer seafood safety, budget requests for food safety programs, food labeling requirements, grain inspection services, regulation of health and nutrition claims in food advertising and labeling, sanitary requirements for food transportation, regulation of pesticide residues on fruit, food irradiation control act, regulation of artificial food coloring, federal control over the contamination of food supplies, meat grading standards, meat processing and handling requirements, improvement of railroad food storage facilities, shortage of grain storage facilities, food packaging standards, food buyer protection, regulation of food additives, federal seed act, definition and standards of dry milk solids."
Agriculture,404,"Agricultural Marketing, Research, and Promotion.","Examples: soybean promotion and consumer information act, USDA commodity promotion programs, cotton promotion, wheat marketing problems, livestock marketing, new peanut marketing system, establishing a national commission on food marketing, fruit and vegetable marketing, industrial uses for agricultural products, meat promotion program, national turkey marketing act, federal marketing quotas for wheat.."
Agriculture,405,Animal and Crop Disease and Pest Control.,"Examples: USDA regulation of plant and animal mailing to prevent the spread of diseases, control of animal and plant pests, pork industry swine disease eradication program, virus protection for sheep, grasshopper and cricket control programs on farmland, USDA response to the outbreak of citrus disease in Florida, eradication of livestock diseases, brucellosis outbreak in cattle, USDA integrated pest management  11  program, toxic contamination of livestock, fire ant eradication program, proposed citrus blackfly quarantine, predator control problems, biological controls for insects and diseases on agricultural crops, eradication of farm animal foot and mouth diseases, efforts to protect the food-supply from terrorist attacks."
Agriculture,498,Agricultural Research and Development.,"Examples: condition of federally funded agricultural research facilities, USDA nutrition research activities, USDA agricultural research programs, regulation of research in agricultural biotechnology programs, organic farming research, potential uses of genetic engineering in agriculture, agricultural research services, research on aquaculture.."
Agriculture,499,Other.,"Examples: methodologies used in a nationwide food consumption survey, agricultural weather information services, federal agricultural census, designate a national grain board, home gardening, redefinition of the term farm,  farm cooperative issues.
"
"Labor, Employment, and Immigration",500,General (includes combinations of multiple subtopics).,"Examples: Department of Labor budget requests and appropriations, assess change in labor markets to the year 2000, human resources development act, recent decline in the number of manufacturing jobs, national employment priorities, employment security administration financing, current labor market developments.."
"Labor, Employment, and Immigration",501,"Worker Safety and Protection, Occupational and Safety Health Administration (OSHA).","Examples: mine safety regulations, lead exposure risks during construction activities, improving OSHA safety and health programs, petrochemical plant worker safety, repetitive motion illnesses in the workplace, OSHA penalties and procedures for violations resulting in employee death or disability, investigation of a fatal fire at a chicken processing plant in North Carolina, construction safety standards, improve procedures for occupational health hazards identification, identification of high-risk diseases in the work place, worker protection at Superfund clean-up sites, drug and alcohol abuse in the work place, compensation for occupational diseases, safety at DOE nuclear facilities, black lung benefits and black lung disease.."
"Labor, Employment, and Immigration",502,Employment Training and Workforce Development.,"Examples: job training partnership acts (JPTA), job opportunities and basic skills training programs, federal aid for job retraining, job displacement programs among timber workers, workforce 2000 employment readiness act, elderly workers and job re-training, DOL bonuses to states for training and employment of long-term welfare recipients, national employment priorities act, work incentive programs, manpower and employment problems in Cleveland, manpower development and training act, public service jobs for  12  unemployed, public service job programs, Comprehensive Employment and Training Act (CETA), job training for veterans.."
"Labor, Employment, and Immigration",503,Employee Benefits.,"Examples: underfunded pension plans and pension plan protection, emergency unemployment compensation, guarantees of retirement annuities, employee stock ownership plans, pension benefit guarantee corporation, voluntary employee leave sharing program, unemployment compensation system financing, worker compensation ratemaking reform, tax treatment of employee fringe benefits, disability insurance legislation, railroad employment benefits, welfare and pension plans disclosure act, corporate solvency of health benefit plans, ERISA."
"Labor, Employment, and Immigration",504,Employee Relations and Labor Unions.,"Examples: labor-management relations in the coal industry, striker replacement legislation, national rail strike, operations of the NLRB, federal agency guidelines for worker dispute resolution, unions and collective bargaining problems, FAA regulation of flight attendant work and rest periods, federal mediation of railway employee strike, labor law reform and unfair labor practices, terms of office for local labor union officers, harbor workers compensation act, investigation into the causes of labor disputes, notification of plant closures or layoffs, Longshoremen issues, amend the National Labor Relations Act, right to organize, employee organization efforts."
"Labor, Employment, and Immigration",505,Fair Labor Standards.,"Examples: minimum wage regulation for federal contracts, increase the minimum wage rate, enforcement of wage and hour standards, require contractors to pay wages at the rate in locality where the construction occurred, fair labor standards act, application of the fair labor standards act in Puerto Rico, penalties on employers for overtime work requirements, Davis-Bacon Act (or Davis Bacon).."
"Labor, Employment, and Immigration",506,"Youth Employment, Youth Job Corps Programs, and Child Labor.","Examples: youth employment through conservation projects, increase youth participation in job training centers, youth employment regulation and protection, voucher system to promote youth service programs, youth involvement in community service programs, summer youth education and employment programs, job training for disadvantaged youths, summer camps and youth camps (all activities and issues associated with summer and youth camps)."
"Labor, Employment, and Immigration",508,Parental Leave and Child Care.,"Examples: Family and Medical Leave Act, child care assistance programs, child care for low and moderate income families, meeting the child care needs of working parents, affordability of insurance for day care centers, parental and medical leave, child care placement assistance for working parents, dependent care, dependent and Child care.."
"Labor, Employment, and Immigration",529,"Migrant and Seasonal workers, Farm Labor Issues.","Examples: migrant and seasonal worker housing, national office for migrant farm workers, migrant childrens nutrition and education needs, improvement of migrant living and working conditions, social and economic problems of migrant workers, migrant workers and their effect on American labor, Mexican farm labor programs, migratory labor bills, health clinics for migratory farm workers, farm labor supply programs.."
"Labor, Employment, and Immigration",530,Immigration and Refugee Issues.,"Examples: immigration of Cuban refugees to the US, refugee resettlement appropriations, HHS authority over immigration and public health, INS enforcement of immigration laws, legalization procedures for illegal immigrants, assessment of Haitian refugee detention by the US, immigration and education issues for aliens, adjusting visa allocations based on applicant job skills, DOL certification process for foreign engineers working in the US, denial of visas to political refugees, appropriations for the INS, citizenship issues, expedited citizenship for military service."
"Labor, Employment, and Immigration",599,Other.,"Examples: discontinuance of monthly press briefings by the Bureau of Labor Statistics, worker alienation research, materialism and the American family work ethic, DOL automatic data processing system."
Education,600,General (includes combinations of multiple subtopics).,"Examples: Department of Education (DOEd) appropriations, state of education in the US, education programs development, education quality, national education methods, impact of education budget cuts, white house conference on education, National Institute of Education.."
Education,601,Higher Education.,"Examples: student loan reform, reauthorization of the higher education act, higher education student financial aid programs, violations of NCAA regulations by some colleges, direct loan programs for graduate students, student loan fraud and default, role and financial need of black colleges and universities, Montgomery GI bill, military education, veterans education assistance, foreign students at US military academies,  14  rising costs of operating higher education institutions, improving the quality of higher education, Pell Grant eligibility changes, status of university endowments in light of federal aid reduction to higher education, national defense education act, Sea Grant and Space Grant programs.."
Education,602,Elementary and Secondary Education.,"Examples: federal elementary and secondary education programs, school finding disparities, education choice programs, high school dropout intervention programs, certification standards for public school teachers, impact of federal budget cuts on school districts, elementary and secondary school student discipline problems, the Safe Schools Act, construction assistance for school facilities, high school scholarship programs, elementary and secondary schools and supplemental educational centers, preschool issues, charter schools, No Child Left Behind Act (NCLB), accountability in education, crime and violence in schools, general funding, broad curriculum reforms, broad testing reforms and teaching standards that do not emphasize specific subjects such as math, science, etc  See also: 607 specific measures under NCLB aimed to increase the quality of education, math and science teacher certification standards.."
Education,603,Education of Underprivileged Students.,"Examples: Head Start programs, teaching disadvantaged students, Even Start Education Act, education needs of Hispanics, bilingual education needs, Department of Education grants to improve skills of economically disadvantaged students, effects of Head Start on later performance, adult literacy programs, combating adult illiteracy in the US, Head Start grant allocation formula, education for children from low income homes, enrichment programs for disadvantaged secondary school students, rural education initiatives."
Education,604,Vocational Education.,"Examples: appropriations for vocational education programs, federal aid for vocational training, technical and vocational education programs, vocational aid program requirements, impact of proposed budget cuts on vocational education, vocational and occupational education, displaced homemakers vocational and education assistance.."
Education,606,Special Education.,"Examples: education programs for the deaf, DOEd grants for early intervention services for disabled infants and toddlers, appropriations for Education of the Handicapped Act, progress in implementing program for learning disabled youth, handicapped education, free public education for the handicapped, education assistance for the blind, Disabilities Education Act."
Education,607,Educational Excellence.,"Examples: promotion of excellence in education, promotion of science and math education, education standards and testing, improvement of science education facilities, increase foreign language competency in US schools, programs to promote teacher excellence, grants for improving computer education in schools, establish centers for gifted and talented students, use of telecommunications to share teaching resources, grants for library construction, federal library program developments, public library facilities, teacher certification standards for math and science teachers, subject-specific curriculum, testing standards and/or teaching reforms."
Education,609,Arts and Humanities.,"Examples: Appropriations for NEA, NEH, Department of Interior loans for performing arts at parks, national endowment for local arts development programs, federal role in funding arts programs, federal funding for the Kennedy Center, White House conferences on the arts and humanities, American folklife."
Education,698,Research and Development.,"Examples: education research appropriations, Department of Education research and development programs, research on education technology.."
Education,699,Other.,"Examples: propriety of a videotape made by the Department of Education (DOEd), DOEd internal problems, review National Center for Education Statistics activities, dismissal of Education Appeal Board cases, retirement and lifelong learning."
Environment,700,General (includes combinations of multiple subtopics).,"Examples: EPA, CEQ, ERDA budget requests and appropriations, implementation of the Clean Air Act, implementation of National Environmental Policy Act (NEPA), review of EPA regulations, Environmental Crimes Act, US policies and international environmental issues, requirements for states to provide source pollution management programs, EPA pollution control programs, Comprehensive Environmental Response Act (CERPA), environmental implications of the new energy act, environmental protection and energy conservation, adequacy of EPA budget and staff for implementing pollution control legislation."
Environment,701,Drinking Water Safety.,"Examples: Clean Water Act, EPA water pollution abatement, pesticides in groundwater, lead contamination of drinking water, drinking water safety programs, comprehensive program to assess the quality of the nations groundwater, drinking water availability, dioxin levels in drinking water, fluoridation of water, Federal Water Pollution Control Act.."
Environment,703,Waste Disposal.,"Examples: interstate waste disposal, solid waste management, federal management of municipal waste, municipal sewage problems, EPA municipal sewage treatment construction grants program, recovery of energy from municipal solid waste, garbage and/or trash collection issues, waste treatment facility, storm water runoff.."
Environment,704,"Hazardous Waste and Toxic Chemical Regulation, Treatment, and Disposal.","Examples: EPA administration of the Superfund program, hazardous waste sites cleanup, hazardous materials transportation, international movement of hazardous waste, insurance company liability for cleanup costs of hazardous waste sites, DOT routing of ultra hazardous cargoes, hazardous waste landfills, possible sites for nuclear waste repositories, toxic substances control and regulation, advance notice of hazardous of hazardous material storage for firefighters, pesticides regulation.."
Environment,705,"Air pollution, Global Warming, and Noise Pollution.","Examples: Clean Air Act, air quality issues affecting national parks, EPA regulation of chemical plant emissions, costs and effects of chronic exposure to low-level air pollutants, ambient air quality criteria, global warming, national action plan for reducing greenhouse emissions, ozone layer depletion, national program to control acid rain, effects of chlorofluorocarbons on the ozone layer, regulation of automobile emissions, EPA noise control programs, CAFE standards, effects of climate change on the Chesapeake Bay.."
Environment,707,Recycling.,"Examples: recycling contaminated materials, beverage container recycling, state and local recycling efforts, promotion of recycling as a means of reducing solid waste, resource conservation and recycling.."
Environment,708,Indoor Environmental Hazards.,"Examples: radon awareness and disclosure act, indoor air quality and radon abatement legislation, lead exposure reduction, childhood lead poisoning prevention, public school asbestos inspections, management and control of asbestos in government buildings, EPA programs relating to indoor air contamination, airliner cabin air quality, health effects of exposure to low level radiation from video display terminals, EPA regulation of indoor disinfectants."
Environment,709,Species and Forest Protection.,"Examples: endangered species protection act, gray wolf restoration, protection of spotted owls, exotic bird conservation, protection of performance animals, regulation of trapping devices, bald eagle protection, regulation of laboratory animals, fish and wildlife protection and management programs, marine mammal protection, Bristol Bay fisheries protection, fishery conservation and management, salmon conservation issues, sport fish restoration programs, protection of certain tuna species, scientific findings on late-successional forest ecosystems, old growth forest protection, wilderness refuge protection, control of illegal trade in animals and plants, humane treatment of animals used in experiments."
Environment,710,Pollution and Conservation in Coastal and Other Navigable Waterways.,"Examples: preservation of wetlands, regulation of ocean dumping, pollution from cruise ships, marine plastic pollution control, marine sanctuaries appropriations, pollution in the Chesapeake Bay, protection of coral reef systems, Columbia river water pollution, coastal barrier improvement, coastal erosion and management, federal and state coastal zone protection policies, toxic pollution in the great lakes, regulation of the incineration of hazardous wastes at sea, oil spills."
Environment,711,Land and Water Conservation.,"Examples: watershed protection, including pollution in small lakes, rivers, and streams; land and water conservation fund amendments, USDA soil conservation promotion, soil conservation for watershed projects, topsoil conservation standards, water supply problems, federal-state water resources rights with conservation or other environmental dimensions, beach erosion."
Environment,798,Research and Development.,"Examples: environmental research and development programs, EPA research and development appropriations, global climate change research, ocean research using satellite technology, marine biotechnology research, National Environmental Data System.."
Environment,799,Other.,"Examples: Environmental education, environmental citizens, eco-terrorism."
Energy,800,General (includes combinations of multiple subtopics).,"Examples: Department of Energy (DOE) budget requests and appropriations, DOE and NRC budget requests and appropriations, national energy security policy, US energy goals, US energy supply and conservation, regulation of natural gas and electricity, impact of taxation on national energy policy, global energy needs, emergency plans for energy shortages, promotion of energy development projects, long-range energy needs of the US, energy capital requirements, establish the DOE, energy advisory committees."
Energy,801,Nuclear Energy and Nuclear Regulatory Commission Issues.,"Examples: Nuclear Regulatory Commission and Atomic Energy Commission budget requests and appropriations, nuclear power licensing reform, nuclear power plant fire safety legislation, U S. nuclear power policy, safety of nuclear facility storage tanks for high level radioactive waste, revise the claims system for nuclear accidents, standardized design for nuclear power plants, NRC regulation of the TVA nuclear power program, new technologies for safer nuclear reactors, need for international nuclear safety standards, Three Mile Island nuclear plant accident, state of the atomic energy industry, atomic energy patents, fusion energy act, Energy Research and Development Administration (ERDA), protection of nuclear plants from attack."
Energy,802,Electricity and Hydroelectricity.,"Examples: Tennessee Valley Authority (TVA) and Bonneville Power Administration (BPA) budget requests and appropriations, electric power plant construction, hydroelectric project licensing, hydroelectric power development, utility payment reform, FERC licensing of electric power plants, rural electrification programs, ability of rural electric cooperatives to provide adequate power, BPA electric power rates and ratemaking procedures, electric utility rate reform and regulation improvement, regional shortages of electric power, financial management of the TVA, electric utilities financial problems, regulation of electric power plants use of natural gas, vulnerability of US electric power systems to accidents, increase in rural electric rates, emergency sales of electric power, impact of inflation and recession on the electric utility industry.."
Energy,803,Natural Gas and Oil (Including Offshore Oil and Gas).,"Examples: natural gas regulation, natural gas pipeline safety issues, Trans-Alaska pipeline development, natural gas and oil exploration on federal lands, estimates of natural gas reserves in the US, state jurisdiction of the transportation of natural gas, process, collection and dissemination of information on winter heating fuels, oil prices and demand, gasoline price increases, OPEC crude oil prices, oil shortages, increase in world oil prices, long-term outlook of the world oil supply, oil imports and foreign commission payments, administrations gasoline rationing program, oil imports and  19  energy security, foreign oil production and consumption, oil shale mining claims and regulation, estimating domestic oil production, petroleum storage facility fire prevention and safety, strategic petroleum reserve."
Energy,805,Coal.,"Examples: DOE clean coal program, clean coal technologies, regulation of coal slurry pipelines, extent and recoverably of US coal reserves, Great Plains coal gasification project, regulation of federal land leases for the extraction of coal, federal standards for surface coal mining, coal imports.."
Energy,806,Alternative and Renewable Energy.,"Examples: hydrogen and renewable energy programs, promotion of solar and geothermal power, promotion of alternative fuels for automobiles, issues of ethanol gasoline, biomass fuel and wind energy programs, ocean thermal energy research, solar energy development program, assistance for the Synthetic Fuel Development Corporation, loans for alcohol fuel research, geothermal leases on federal lands, hydrogen programs.."
Energy,807,Energy Conservation.,"Examples: energy efficiency in the US government, home energy efficiency programs, community energy efficiency act, energy conservation in cities, energy conservation standards for household appliances, establish building energy performance standards, diesel fuel and gasoline conservation act, promotion of carpooling, daylight savings time extensions, motor vehicle fuel efficiency."
Energy,898,Research and Development.,0
Energy,899,Other.,"Examples: DOE and EPA use of consultants, energy materials and equipment allocation, standby energy authorities legislation, future requirements for energy data, establish the institute for long-range energy analysis."
